LapNumber,LapTime,Compound
4.0,102.82,MEDIUM
5.0,102.705,MEDIUM
6.0,102.837,MEDIUM
7.0,103.325,MEDIUM
8.0,103.427,MEDIUM
9.0,103.263,MEDIUM
10.0,128.29,MEDIUM
1.0,107.31,MEDIUM
2.0,104.789,MEDIUM
3.0,106.421,MEDIUM
4.0,110.009,MEDIUM
5.0,108.938,MEDIUM
6.0,110.982,MEDIUM
1.0,104.701,MEDIUM
2.0,102.916,MEDIUM
3.0,102.475,MEDIUM
4.0,102.11,MEDIUM
5.0,102.21,MEDIUM
6.0,102.189,MEDIUM
7.0,102.686,MEDIUM
8.0,102.423,MEDIUM
9.0,102.62,MEDIUM
10.0,102.323,MEDIUM
11.0,102.307,MEDIUM
12.0,101.879,MEDIUM
13.0,102.58,MEDIUM
14.0,102.541,MEDIUM
15.0,102.616,MEDIUM
16.0,102.54,MEDIUM
17.0,102.462,MEDIUM
18.0,102.787,MEDIUM
19.0,103.523,MEDIUM
20.0,103.773,MEDIUM
21.0,123.034,HARD
22.0,101.729,HARD
23.0,101.227,HARD
24.0,101.074,HARD
25.0,101.173,HARD
26.0,101.486,HARD
27.0,101.154,HARD
28.0,101.506,HARD
29.0,101.152,HARD
30.0,101.533,HARD
31.0,101.31,HARD
32.0,101.844,HARD
33.0,101.62,HARD
34.0,101.98,HARD
35.0,101.225,HARD
36.0,101.199,HARD
37.0,101.307,HARD
38.0,102.192,HARD
39.0,120.679,MEDIUM
40.0,99.898,MEDIUM
41.0,99.856,MEDIUM
42.0,99.582,MEDIUM
43.0,100.258,MEDIUM
44.0,100.445,MEDIUM
45.0,100.277,MEDIUM
46.0,100.264,MEDIUM
47.0,99.972,MEDIUM
48.0,100.573,MEDIUM
49.0,100.127,MEDIUM
50.0,99.901,MEDIUM
51.0,99.819,MEDIUM
52.0,100.243,MEDIUM
53.0,99.737,MEDIUM
54.0,99.869,MEDIUM
55.0,99.938,MEDIUM
56.0,100.743,MEDIUM
1.0,103.482,MEDIUM
2.0,102.619,MEDIUM
3.0,102.319,MEDIUM
4.0,102.538,MEDIUM
5.0,102.805,MEDIUM
6.0,103.612,MEDIUM
7.0,103.149,MEDIUM
8.0,103.163,MEDIUM
9.0,102.757,MEDIUM
10.0,103.03,MEDIUM
11.0,104.45,MEDIUM
12.0,102.762,MEDIUM
13.0,102.762,MEDIUM
14.0,102.771,MEDIUM
15.0,102.831,MEDIUM
16.0,102.801,MEDIUM
17.0,102.53,MEDIUM
18.0,102.717,MEDIUM
19.0,103.074,MEDIUM
20.0,103.2,MEDIUM
21.0,103.366,MEDIUM
22.0,103.617,MEDIUM
23.0,103.57,MEDIUM
24.0,122.894,HARD
25.0,102.103,HARD
26.0,102.055,HARD
27.0,101.398,HARD
28.0,101.397,HARD
29.0,101.386,HARD
30.0,101.75,HARD
31.0,101.715,HARD
32.0,101.721,HARD
33.0,101.329,HARD
34.0,101.328,HARD
35.0,101.273,HARD
36.0,101.501,HARD
37.0,101.101,HARD
38.0,101.025,HARD
39.0,102.8,HARD
40.0,101.19,HARD
41.0,101.652,HARD
42.0,101.41,HARD
43.0,102.15,HARD
44.0,101.422,HARD
45.0,101.305,HARD
46.0,101.248,HARD
47.0,101.175,HARD
48.0,101.25,HARD
49.0,101.4,HARD
50.0,102.085,HARD
51.0,101.064,HARD
52.0,102.19,HARD
53.0,102.656,HARD
54.0,101.882,HARD
55.0,102.519,HARD
56.0,102.725,HARD
